Product-Name, MRP, Price, Image 
NUTRELA Mini Soya Chunks 200 g, ₹60, ₹52, https://rukminim1.flixcart.com/image/280/280/ky3b0y80/soya-chunk/a/8/s/-original-imagaeg6argbxy6g.jpeg?q=70
Rajdhani Rajma Chithra (Whole) 500 g, ₹126, ₹79, https://rukminim1.flixcart.com/image/280/280/ju04akw0/pulses/a/h/v/500-rajma-chitra-rajma-chithra-rajdhani-original-imaff8aw7thayxp9.jpeg?q=70
safe harvest Peanut (Whole) (Pesticide Free) 500 g, ₹129, ₹122, https://rukminim1.flixcart.com/image/280/280/ktx9si80/pulses/b/l/5/groundnut-peanut-safe-harvest-original-imag762nrkfyjctm.jpeg?q=70
Tata Sampann Toor/Arhar Dal 1 kg, ₹189, ₹169, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/a/7/e/-original-imagm6xee3zsfzfm.jpeg?q=70
NUTRELA Soya Chunks 1 kg, ₹210, ₹193, https://rukminim1.flixcart.com/image/280/280/kx6fwcw0/soya-chunk/h/0/f/-original-imag9p3pacw4qfyh.jpeg?q=70
Green Moong Dal (Whole) 1 kg, ₹180, ₹106, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/g/b/b/1-green-moong-whole-sabut-moong-dal-unbranded-original-imafw49hzphzzke4.jpeg?q=70
Tata Sampann Green Moong Dal (Split/Chilka) 500 g, ₹84, ₹67, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/e/n/0/-original-imagm6xeqkpehyvc.jpeg?q=70
Masoor Dal (Split) 500 g, ₹100, ₹50, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/d/b/c/500-masoor-dal-masoor-dal-unbranded-original-imafw49gg3uzjvcn.jpeg?q=70
Urad Dal (Split) 1 kg, ₹180, ₹110, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/6/r/z/1-urad-dal-split-urad-dal-unbranded-original-imafw49gqcbf4vjx.jpeg?q=70
White Peas (Whole) 500 g, ₹90, ₹42, https://rukminim1.flixcart.com/image/280/280/l1nwnm80/pulses/8/l/3/500-white-peas-1-peas-unbranded-original-imagd6a8fxqsqchr.jpeg?q=70
Tata Sampann Chana Dal (Split) 1 kg, ₹125, ₹100, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/m/a/e/-original-imagm6xek7wfzgzn.jpeg?q=70
Tata Sampann Brown Chana (Whole) 500 g, ₹61, ₹48, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/3/p/6/-original-imagm6xfzfqyzm6y.jpeg?q=70
Mayurank Foods Mix Dal 500 g, ₹78, ₹56, https://rukminim1.flixcart.com/image/280/280/khz693k0/pulses/5/m/j/500-tarka-mix-mix-dal-mayurank-original-imafxvp3kp2ywezv.jpeg?q=70
