Product-Name, MRP, Price, Image 
Tata Sampann Toor Dal 1 kg with Chana Dal 1 kg 2 kg, ₹324, ₹207, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/k/j/l/-original-imagh62xvpjfnhvj.jpeg?q=70
NUTRELA Mini Soya Chunks 200 g, ₹60, ₹52, https://rukminim1.flixcart.com/image/280/280/ky3b0y80/soya-chunk/a/8/s/-original-imagaeg6argbxy6g.jpeg?q=70
Tata Sampann Yellow Moong Dal (Split) 1 kg, ₹180, ₹147, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/y/9/m/-original-imagm6xfneqhgszh.jpeg?q=70
Masoor Dal (Split) 500 g, ₹100, ₹51, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/d/b/c/500-masoor-dal-masoor-dal-unbranded-original-imafw49gg3uzjvcn.jpeg?q=70
Tata Sampann Green Moong Dal (Split/Chilka) 500 g, ₹84, ₹67, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/e/n/0/-original-imagm6xeqkpehyvc.jpeg?q=70
Green Moong Dal (Whole) 500 g, ₹100, ₹60, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/k/t/m/500-green-moong-whole-sabut-moong-dal-unbranded-original-imafw47hyjdgq5k6.jpeg?q=70
White Peas (Whole) 500 g, ₹90, ₹42, https://rukminim1.flixcart.com/image/280/280/l1nwnm80/pulses/8/l/3/500-white-peas-1-peas-unbranded-original-imagd6a8fxqsqchr.jpeg?q=70
Tata Sampann Brown Chana (Whole) 500 g, ₹61, ₹48, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/3/p/6/-original-imagm6xfzfqyzm6y.jpeg?q=70
Tata Sampann Toor/Arhar Dal 1 kg, ₹189, ₹169, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/a/7/e/-original-imagm6xee3zsfzfm.jpeg?q=70
Himalayan Natives Yellow Moong Dal (Split) (Pesticide Free) 1 kg, ₹219, ₹113, https://rukminim1.flixcart.com/image/280/280/l3nco7k0/pulses/2/z/p/1-premium-quality-moong-dal-skinless-split-1-moong-dal-himalayan-original-imageq2ckspcsdgz.jpeg?q=70
Fortune Mini Soya Chunks 200 g, ₹60, ₹53, https://rukminim1.flixcart.com/image/280/280/kxrvi4w0/soya-chunk/a/a/0/200-mini-soya-chunks-box-1-mini-soya-chunks-fortune-original-imaga5zuwgenewws.jpeg?q=70
Urad Dal (Split) 1 kg, ₹180, ₹110, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/6/r/z/1-urad-dal-split-urad-dal-unbranded-original-imafw49gqcbf4vjx.jpeg?q=70
